ptp,counterbalancing,rt,mouse_clientX,mouse_clientY,row,col,correct,pa_center_x,pa_center_y,condition,arrangement,block,block_trial_idx,hidden_pa_img,hidden_pa_img_type,corr_row,corr_col,top_offset,left_offset,trial_stage,time_elapsed,mouse_dist_cb,mouse_error,hidden_pa_img_row_number,hidden_pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed
sub_001,cb5,1718.800000011921,778,338,7,10,0,471.12109375,406.22265625,practice,6,1,1,img/targets/BOSS/high_familiarity_downsized/practice/008_mug05.jpg,,9,3,12,3,hidden_pa_learning,6885,375.1015625,314.3707905117808,1,1,2,9,8,3,2,5
sub_001,cb5,1445.300000011921,518,434,9,3,1,535.12109375,451.22265625,practice,6,1,2,img/targets/BOSS/high_familiarity_downsized/practice/008_mug05.jpg,,9,3,57,67,hidden_pa_learning,13364,34.34375,24.284804703805076,2,2,2,9,8,3,2,5
sub_001,cb5,1622.5,815,356,7,10,0,605.453125,162.5546875,practice,6,1,3,img/targets/BOSS/high_familiarity_downsized/practice/009_oven.jpg,,2,5,60,54,hidden_pa_learning,20035,402.9921875,285.18587228417937,1,1,4,7,1,10,1,5
sub_001,cb5,1278.8999999761581,786,398,7,10,0,773.7890625,284.890625,practice,6,1,4,img/targets/BOSS/high_familiarity_downsized/practice/010_exitsign.jpg,near,4,10,99,14,hidden_pa_learning,26354,125.3203125,113.76659310851991,1,1,9,2,3,8,2,5
sub_001,cb5,2249.199999988079,845,425,8,10,0,646.453125,174.5546875,practice,6,1,5,img/targets/BOSS/high_familiarity_downsized/practice/009_oven.jpg,,2,5,72,95,hidden_pa_learning,33642,448.9921875,319.5993055772936,2,2,4,7,1,10,1,5
sub_001,cb5,1764.1000000238419,758,227,5,10,0,774.7890625,206.890625,practice,6,1,6,img/targets/BOSS/high_familiarity_downsized/practice/010_exitsign.jpg,near,4,10,21,15,hidden_pa_learning,40417,36.8984375,26.196556692045068,2,2,9,2,3,8,2,5
sub_001,cb5,1388,620,449,9,3,0,910.7890625,457.21875,practice2,7,1,1,img/targets/BOSS/high_familiarity_downsized/practice2/021_couch02.jpg,near,9,10,63,151,hidden_pa_learning,6488,299.0078125,290.9051851053731,1,1,9,2,8,3,2,5
sub_001,cb5,1670.5,481,416,8,3,0,604.1171875,275.5546875,practice2,7,1,2,img/targets/BOSS/high_familiarity_downsized/practice2/020_corn02.jpg,near,5,6,48,11,hidden_pa_learning,13218,263.5625,186.76918284645572,1,1,5,6,4,7,4,9
sub_001,cb5,1808.699999988079,626,379,6,6,0,636.1171875,341.5546875,practice2,7,1,3,img/targets/BOSS/high_familiarity_downsized/practice2/020_corn02.jpg,near,5,6,114,43,hidden_pa_learning,20087,47.5625,38.78799957632273,2,2,5,6,4,7,4,9
sub_001,cb5,1408.5,488,429,10,3,0,468.1171875,353.5546875,practice2,7,1,4,img/targets/BOSS/high_familiarity_downsized/practice2/019_cartonofeggs.jpg,,8,3,1,0,hidden_pa_learning,26577,95.328125,78.02128819195958,1,1,2,9,7,4,2,6
