ptp,rt,response,time_elapsed
sub_001,46207.19999998808,everything works fine but i dont understand how this experiment makes any sense unless it's all just down to a lucky guess,46217
sub_001,5438.5,,5448
sub_001,1392.6000000238419,,1400
sub_001,1276.8999999761581,,1285
sub_001,2179.1999999284744,,2186
sub_001,1848.7000000476837,,1857
sub_001,1568.6999999284744,,1576
sub_001,1732.6000000238419,,1741
sub_001,1568.3000000715256,,1575
sub_001,1359.7999999523163,,1367
sub_001,1473.6999999284744,,1482
sub_002,3311.399999976158,,3321
sub_002,3336.300000011921,,3342
sub_002,1686.199999988079,,1691
sub_002,10254.799999952316,,10261
sub_002,1777.8999999761581,,1783
sub_002,1547.9000000357628,,1553
sub_002,1666.199999988079,,1671
sub_002,3124.899999976158,,3131
sub_002,1480.8999999761581,,1486
sub_002,1409.4000000357628,,1415
sub_002,1490.5,,1496
sub_003,7589.4000000059605,,7603
sub_003,1921.300000011921,,1933
sub_003,1811,,1823
sub_003,2459.199999988079,,2472
sub_003,3487.5,,3501
sub_003,2534.2999999821186,,2548
sub_003,6773.9000000059605,,6788
sub_003,4133.4000000059605,,4149
sub_003,4202.5,,4216
sub_003,2693.5999999940395,,2703
sub_003,1928.699999988079,,1940
sub_004,7908.399999976158,,7913
sub_004,2688.9000000953674,,2696
sub_004,1477.0999999046326,,1483
sub_004,1435.7999999523163,,1444
sub_004,912.6000000238419,,918
sub_004,1346.3999999761581,,1351
sub_004,771,,776
sub_004,1616.8999999761581,,1624
sub_004,1163.7999999523163,,1168
sub_004,1484.3999999761581,,1490
sub_004,1232.2000000476837,,1238
sub_005,7316.200000047684,,7328
sub_005,3082.0999999046326,,3089
sub_005,1278.7999999523163,,1285
sub_005,3600.5999999046326,,3607
sub_005,1962.9000000953674,,1968
sub_005,2719,,2724
sub_005,2062,,2069
sub_005,1881.2999999523163,,1887
sub_005,1649.9000000953674,,1656
sub_005,1261.8999998569489,,1269
sub_005,1462.2000000476837,,1468
sub_006,9224.399999976158,,9248
sub_006,4758.199999988079,,4770
sub_006,1455.699999988079,,1466
sub_006,1580.5999999642372,,1591
sub_006,1365.300000011921,,1376
sub_006,1214.199999988079,,1225
sub_006,1257.199999988079,,1273
sub_006,1199.7999999523163,,1210
sub_006,1001.1999999880791,,1014
sub_006,1916.5,,1930
sub_006,5707.100000023842,,5719
sub_007,6706.800000011921,,6716
sub_007,4440.399999976158,,4449
sub_007,11634.300000011921,,11644
sub_007,12209.300000011921,,12218
sub_007,8413.400000035763,,8422
sub_007,6992.5,,7002
sub_007,9633.800000011921,,9643
sub_007,12124,,12134
sub_007,3168,,3176
sub_007,2011.4000000357628,,2020
sub_007,16656.100000023842,,16665
sub_008,4206.60000000149,,4213
sub_008,1673.5999999977648,,1678
sub_008,2188,,2192
sub_008,2891,,2896
sub_008,2691.800000000745,,2695
sub_008,1462.800000000745,,1467
sub_008,1091.0999999977648,,1095
sub_008,2391.300000000745,,2395
sub_008,28539.29999999702,,28548
sub_008,1414.800000000745,,1420
sub_008,1826.9000000022352,,1834
sub_009,7369,,7380
sub_009,2190,,2202
sub_009,2082,,2111
sub_009,2261,,2274
sub_009,1625,,1635
sub_009,1760,,1771
sub_009,2103,,2123
sub_009,1631,,1644
sub_009,1284,,1309
sub_009,2818,,2831
sub_009,2398,,2410
sub_010,11861.399999976158,yes,11883
sub_010,10970.5,,10984
sub_010,3160.600000023842,,3172
sub_010,3598,,3611
sub_010,2967.399999976158,,2979
sub_010,12722.199999988079,,12736
sub_010,1959.199999988079,,1967
sub_010,1304.300000011921,,1317
sub_010,1629.5,,1636
sub_010,2346,,2358
sub_010,2132.199999988079,,2144
