ptp,n_perm,mean_mouse_error,n_perm_less_mouse_error,percentile_sim_mouse_error,qc_fail_mouse_error
sub_001,10000,29.424218522187132,0,0,FALSE
sub_002,10000,40.79644461206449,0,0,FALSE
sub_003,10000,48.65495672491028,0,0,FALSE
sub_004,10000,32.23624536291635,0,0,FALSE
sub_005,10000,111.9844807751013,0,0,FALSE
sub_006,10000,48.39592200800252,0,0,FALSE
sub_007,10000,34.592360135330274,0,0,FALSE
sub_008,10000,28.036456991562556,0,0,FALSE
sub_009,10000,99.81607357655275,0,0,FALSE
sub_010,10000,70.83815808352836,0,0,FALSE
